Motor Type,Device Type,Run Time Since Maintenance,Run Time Since Overhaul,Run Time Since Production,Age Since Overhaul,Age Since Production,TempF Mean - 1 Minute,TempF StDev - 1 Minute,TempF Range - 1 Minute,TempF Max - 1 Minute,TempF Mean - 15 Minutes,TempF StDev - 15 Minutes,TempF Range - 15 Minutes,TempF Max - 15 Minutes,Observations Above Max Temp - 24 Hours,Remaining Useful Life
Permanent Magnet,Fan,3534,6222,11170,701.05,1343.74,85.8,3.92,6.62,89.55,73.25,0.16,0.36,73.41,22,69.95
Series-Wound,Fan,1487,4295,9388,283.51,663.79,88.15,0.98,1.77,88.32,71.74,0.99,2.53,73.3,0,2866.99
Shunt-Wound,Conveyor,1269,4067,9444,266.76,894.33,89.36,0.19,0.43,89.56,73.21,0.54,1.5,73.28,0,3138.89
Shunt-Wound,Actuator,1646,5063,10172,580.09,1219.02,70.24,2.09,3.14,71.01,104.04,1.15,3.08,106.73,0,2628.13
Series-Wound,Fan,3696,6501,11014,821.49,1153.44,88.44,2.95,5.84,90.86,72.02,6.04,14.89,77.97,0,1867.09
Permanent Magnet,Conveyor,5172,8251,13232,989.41,1681.94,76.32,0.21,0.38,76.44,70.86,0.56,1.19,71.43,0,1707.09
Series-Wound,Conveyor,3009,5636,11020,376.26,730.67,72.47,0.24,0.4,72.71,72.22,0.18,0.42,72.36,0,2493.95
Permanent Magnet,Pump,5375,8725,13855,614.07,974.34,73.93,2.89,6.46,79.39,73.04,2.91,6.9,73.73,0,1539.6
Shunt-Wound,Actuator,4055,7147,12504,556.47,1109.51,74.08,0.89,1.79,74.54,76.2,0.11,0.31,76.45,12,1025.64
Permanent Magnet,Fan,3001,5876,10697,859.41,1277.75,72.87,0.19,0.4,73.15,90.45,0.2,0.45,90.66,0,2410.95
Permanent Magnet,Pump,3484,6050,11063,430.2,813.36,93.35,0.47,0.86,93.37,73.57,0.22,0.59,74.04,0,2269.35
Permanent Magnet,Fan,4357,6987,11540,449.11,861.42,70.61,0.45,1.05,71.1,81.64,0.17,0.4,81.92,4,1687.67
Series-Wound,Conveyor,5328,8203,12868,1019.67,1706.07,71.22,0.39,0.85,71.58,70.29,1.52,3.92,72.49,0,1619
Series-Wound,Fan,4082,6645,11530,446.73,1146.84,70.27,1.96,3.56,71.92,72.64,1.04,2.67,73.38,0,2079.61
Permanent Magnet,Actuator,1469,4108,9243,353.78,776.11,81.65,1.31,2.21,83.42,99.09,0.41,1.12,99.17,0,2800.25
Series-Wound,Fan,5750,8996,14286,1081.44,1582.66,73.28,0.25,0.44,73.65,89.68,0.21,0.52,89.8,0,1367.18
Permanent Magnet,Pump,4468,7679,12760,718.36,1441.91,80.55,0.14,0.22,80.56,76.22,0.38,0.97,76.8,0,1990
Shunt-Wound,Actuator,3341,6163,11451,534.98,875.05,91.84,0.29,0.65,92.42,72.3,1.03,2.65,73.16,0,2411.21
Shunt-Wound,Conveyor,5772,8997,13706,874.25,1199.27,93.32,0.19,0.31,93.46,76.22,2.35,6.62,81.71,0,1417.66
Permanent Magnet,Fan,2174,5039,9660,323.8,659.59,99.11,0.9,2.17,99.77,77.88,4.86,11.47,79.39,0,2532.91
Series-Wound,Conveyor,4040,7046,12116,489.21,957.83,70.06,0.49,1.21,70.72,73.42,1.96,4.03,76.42,0,2190.19
Shunt-Wound,Pump,2319,5072,10085,595.88,1007.4,76.34,0.86,1.83,77.69,95.23,1.45,4.2,98.25,0,2432.81
Series-Wound,Fan,1548,5034,10450,791.85,1347.96,72.39,0.38,0.58,72.7,71.35,0.2,0.44,71.47,0,2874.01
Shunt-Wound,Pump,3751,6617,11634,515.63,1072.83,73.79,3.3,5.13,76.46,73.39,4.99,14.35,83.29,0,2046.57
Permanent Magnet,Conveyor,2573,5791,10764,429.32,874.53,79.86,0.29,0.65,80.25,74.04,4.1,10.7,75.39,8,1884.95
Permanent Magnet,Fan,3399,5997,10959,810.79,1431.81,76,0.29,0.56,76.18,73.01,0.74,2.13,73.38,0,2291.94
Permanent Magnet,Pump,5491,8126,12853,568.46,877.82,79.22,0.23,0.54,79.3,73.19,0.43,0.99,74,0,1744.6
Permanent Magnet,Conveyor,1386,4380,9860,296.93,869.49,89.7,0.33,0.58,89.91,71,6.21,13.41,75.47,0,2905.8
Shunt-Wound,Pump,5681,8258,12949,689.95,1139.71,69.05,0.22,0.35,69.19,72.08,0.29,0.7,72.3,0,1620.02
Permanent Magnet,Pump,4819,7556,12760,797.56,1293.45,70.54,0.25,0.61,70.83,88.62,0.49,1.01,88.71,0,1810.83
Series-Wound,Pump,5471,8222,13277,583.84,935.21,72.85,0.28,0.7,73.07,71.67,0.29,0.7,71.8,0,1813.35
Permanent Magnet,Conveyor,3723,7177,11753,532.72,1116.89,85.41,1.96,3.98,87.99,72.73,0.16,0.4,73.07,0,2102.2
Permanent Magnet,Fan,3384,6600,11749,728.66,1357.34,90.56,0.42,0.77,91.02,83.16,5.15,13.22,90.05,9,1267.19
Permanent Magnet,Pump,4506,7624,12585,518.75,847.11,70.7,0.76,1.47,71.37,73.58,0.79,2.22,74.99,0,2129.76
Shunt-Wound,Fan,3619,7093,12266,1079.41,1625.62,72.95,0.23,0.46,73.35,70.16,5.66,14.53,70.43,0,2230.88
Permanent Magnet,Pump,3456,6600,12003,908.44,1415.27,75.1,0.55,1.09,75.15,82.22,0.26,0.64,82.74,0,2294.02
Permanent Magnet,Conveyor,4310,7642,12445,1030.49,1379.47,73.51,0.34,0.77,73.61,98.63,0.46,1.21,99.42,0,1728.68
Permanent Magnet,Fan,1792,4675,9634,534.62,910.34,70.15,4.92,10.61,78.31,83,0.22,0.45,83.39,26,127.95
Permanent Magnet,Pump,1269,4412,9610,315.64,1172.46,70.68,0.25,0.44,71.02,71.91,0.21,0.6,72.1,0,3293.95
Permanent Magnet,Actuator,5751,9050,14524,974.97,1550.17,100.19,0.24,0.4,100.52,71.42,1.74,3.77,74.51,0,1319.77
Shunt-Wound,Pump,4269,7204,12635,872.13,1633.65,71.14,3.64,6.36,73.42,80.4,0.14,0.35,80.69,24,1
Permanent Magnet,Pump,5153,8317,13771,831.13,1209.54,75.24,0.37,0.91,75.87,78.11,0.36,1,78.86,0,1800.65
Permanent Magnet,Fan,3890,6694,11434,532.64,1206.85,101.03,0.14,0.27,101.14,70.15,3.58,8.78,70.66,0,2171.67
Shunt-Wound,Pump,4190,6970,11563,631.74,934.18,103.23,0.16,0.37,103.28,79.64,0.54,1.2,79.97,0,1914.56
Series-Wound,Actuator,5194,8583,13168,1116.99,1427.44,93.05,0.44,0.95,93.2,76.41,0.27,0.61,76.51,18,1
Shunt-Wound,Actuator,2005,4988,9630,478.56,814.58,70.53,0.18,0.39,70.83,74.01,2.17,4.98,76.8,0,2998.21
Shunt-Wound,Actuator,3459,6100,11405,640.78,1310.97,71.4,0.49,0.95,72.06,72.32,1.4,3.79,74.37,0,2308.1
Permanent Magnet,Conveyor,5412,8771,13574,1439.78,1907.01,84.35,4.62,11.28,91.76,81.3,1.55,3.77,82.25,0,1203.99
Permanent Magnet,Fan,4485,7295,12139,860.57,1417.4,83.99,2.64,4.56,86.21,90.01,0.14,0.35,90.29,0,1727.44
Series-Wound,Conveyor,1931,5194,9765,389.58,966.35,69.17,0.27,0.61,69.38,70.86,5.27,11.32,71.39,0,2920.95
Shunt-Wound,Pump,1704,4355,8856,585.06,1295.09,71.85,3.56,8.74,78.46,76.83,3.38,9.39,84.34,0,2647.61
Series-Wound,Actuator,2790,5703,10719,740.11,1186.16,74.02,0.15,0.22,74.14,79.51,0.2,0.53,79.57,14,1131.2
Series-Wound,Fan,4697,7286,12319,803.22,1486.67,73.98,0.24,0.51,74.19,70.46,0.15,0.38,70.61,0,1882.61
Permanent Magnet,Conveyor,4054,6814,12261,602.52,998.9,80.71,0.31,0.54,80.75,78.48,3.7,7.6,79.59,16,584.1
Permanent Magnet,Conveyor,2348,5312,10715,440.3,878.97,72.95,0.18,0.45,73.08,70.72,0.23,0.61,70.79,0,2833.34
Series-Wound,Pump,4583,7941,12682,638.5,1322.43,100.91,1.96,3.02,101.18,74.39,0.2,0.42,74.56,3,1382.87
Series-Wound,Fan,5650,8919,14286,1087.07,1643.44,70.11,3.13,6.15,74.36,73.41,0.38,0.94,74.1,0,1398.42
Permanent Magnet,Pump,3095,5653,10657,365.68,831.65,71.83,0.23,0.46,72.22,79.38,0.26,0.52,79.38,0,2659.36
Permanent Magnet,Actuator,3112,5671,10873,548.06,1245.57,71.21,1.82,3.78,71.75,71.19,0.93,1.89,71.26,0,2561.69
Permanent Magnet,Conveyor,4867,8267,12836,745.61,1043.98,79.85,0.56,1.34,80.88,75.25,2.78,7.51,77.28,30,1
Permanent Magnet,Fan,3273,5935,10863,463.54,1023.65,94.56,5.33,12.47,96.65,69.83,0.11,0.31,69.95,0,2139.9
Series-Wound,Conveyor,3227,6358,11630,682.37,1049.88,73.82,0.47,0.88,73.98,84.36,1.57,3.49,85.86,0,2217.79
Permanent Magnet,Actuator,2947,6278,11235,410.58,834.56,92.45,0.17,0.38,92.78,73.63,5.63,14.67,84.68,5,1888.2
Permanent Magnet,Conveyor,4306,7752,12547,529.37,1012.02,70.39,0.99,2.09,72.22,71.17,3.02,8.21,74.53,0,2030.25
Permanent Magnet,Actuator,5335,8235,13026,700.48,1130.31,73.74,0.31,0.62,73.86,71.53,0.31,0.64,71.65,0,1719.48
Permanent Magnet,Actuator,5209,8448,13933,862.2,1474.66,73.16,0.61,0.99,73.45,75.53,0.14,0.29,75.57,0,1777.62
Permanent Magnet,Fan,2897,5410,10797,594.62,1065.61,77.94,4.33,9.48,85.99,80.62,2.3,6.65,85.73,0,2222.06
Shunt-Wound,Actuator,3831,7196,12155,693.96,1150.37,73.14,0.32,0.78,73.71,76.17,1.35,3.22,77.26,0,2127.64
Permanent Magnet,Fan,5827,9067,13979,659.79,1228.34,99.7,0.25,0.57,99.73,80.32,0.28,0.66,80.41,0,1347.15
Permanent Magnet,Fan,1050,3647,8230,424.73,922.11,72.87,0.22,0.53,73.25,71.71,1.91,5.62,73.28,0,3269.02
Permanent Magnet,Fan,2915,5737,11132,505.68,1191.76,80.29,0.45,0.92,80.61,74.47,0.19,0.42,74.53,0,2455.6
Series-Wound,Actuator,2004,5124,10391,347.41,758.83,84.78,6.25,12.07,92.39,71.92,0.44,1.02,72.76,0,2581.47
Permanent Magnet,Pump,4587,7581,12721,487.76,1189.37,91.93,0.35,0.61,92,78.67,4.11,11.9,81.36,0,1857.32
Permanent Magnet,Fan,4693,7394,12450,878.91,1331.94,71.87,0.97,2.24,72.46,75.19,1.01,2.68,77.07,2,1668.84
Permanent Magnet,Actuator,2557,6054,10905,949.87,1482.39,72.55,2.68,6,75.95,73.31,3.62,9.35,80.24,0,2352.47
Permanent Magnet,Actuator,5981,9210,14445,910.17,1334.09,98.85,0.67,1.34,99.26,70.68,0.91,2.25,72.46,12,159
Permanent Magnet,Fan,4353,7181,11952,517.19,895.9,95.62,1.67,4.16,97.47,84.87,0.83,1.77,85.09,0,1812.08
Permanent Magnet,Fan,1965,5215,10562,408.13,955.9,88.18,0.19,0.33,88.41,75.26,1.3,3.09,76.31,2,2601.73
Series-Wound,Conveyor,1489,4432,9030,612.37,942.74,69.08,1.4,3.31,71.72,72.84,0.69,1.84,73.88,0,2991.94
Shunt-Wound,Actuator,4315,7635,12358,516.2,907.47,77.76,1.38,2.53,79.44,69.29,0.4,0.83,69.78,0,2054.91
Permanent Magnet,Pump,5835,9089,14406,1323.5,1668.4,103.7,0.17,0.29,103.92,102.17,0.11,0.3,102.23,3,833.2
Series-Wound,Fan,2793,5299,10017,540.55,1180.16,70.49,1.28,2.38,72.04,73.58,0.28,0.81,74.06,0,2522.95
Series-Wound,Pump,2393,5298,10473,756.59,1166.6,101.84,0.23,0.49,102.17,73.88,0.15,0.32,74.16,0,2594.37
Permanent Magnet,Conveyor,5409,8527,13391,631.79,980,73.6,2.81,5.11,76.05,70.51,1.18,3.19,72.17,0,1555.29
Permanent Magnet,Actuator,1921,4995,9737,725.84,1315.41,80.25,3.3,6.09,84.31,75.49,0.31,0.81,76.07,8,1901.17
Permanent Magnet,Fan,1345,4249,9287,489.68,983.47,71.18,0.2,0.33,71.46,70.92,1.76,3.83,72.48,0,3179.36
Permanent Magnet,Conveyor,5911,8444,13711,1184.36,1591.54,73.01,0.23,0.42,73.23,71.42,2.15,4.61,75.17,0,1596.17
Shunt-Wound,Pump,4550,7350,12840,772.63,1146.12,75.79,0.47,0.88,76.11,82.73,0.29,0.71,83.08,0,1836.25
Permanent Magnet,Pump,5934,9020,13874,675.23,1070.65,96.27,2.85,4.28,98.01,71.18,0.19,0.49,71.52,0,1383.12
Permanent Magnet,Conveyor,1253,4479,9483,445.04,1218.46,69.44,0.11,0.21,69.54,75.11,0.68,1.68,76.26,0,3180.23
Permanent Magnet,Actuator,2069,5442,10227,641.81,978.32,69.69,0.21,0.44,69.99,88.38,1.98,4.23,88.77,0,2776.41
Permanent Magnet,Fan,2728,5801,10435,669.57,1412.47,71.47,0.1,0.19,71.57,74.84,0.71,1.93,76.54,0,2636.93
Series-Wound,Conveyor,5706,9181,14294,881.71,1331.26,106,1.46,2.72,107.85,96.61,0.13,0.26,96.7,14,1
Permanent Magnet,Actuator,5652,8595,13987,1138.83,1721.39,69.09,0.86,2.01,69.17,73.44,6.47,15.14,85.88,0,1355.17
Permanent Magnet,Conveyor,2684,5407,10567,424.07,811.55,98.52,1.42,3,100.7,74.8,0.19,0.54,75.22,12,1407.34
Permanent Magnet,Pump,5486,8490,13515,1273.94,1718.4,72.12,0.3,0.61,72.29,73.55,3.82,9.98,75.26,0,1584.14
Series-Wound,Fan,2072,5376,10144,581.92,891.82,87.72,0.2,0.42,87.86,71.29,0.29,0.62,71.68,0,2695.94
Permanent Magnet,Conveyor,4118,6741,11963,722.24,1209.28,70.43,4.33,8.07,71.79,71.5,2.46,5.62,72.46,0,2032.63
Permanent Magnet,Fan,4039,6759,12256,903.5,1743.68,73.02,0.3,0.52,73.05,73.44,2.45,5.02,73.72,18,329.98
Shunt-Wound,Actuator,1568,4149,8771,481.61,924.96,71.51,0.46,1,71.63,72.97,5.05,12.46,83.91,0,3054.1
Permanent Magnet,Fan,3034,5722,10670,650.21,1218.62,73.53,0.12,0.2,73.55,73.36,0.17,0.41,73.65,0,2632.55
Series-Wound,Fan,3492,6300,11393,489.34,903.4,71.56,0.15,0.26,71.69,76.64,0.67,1.57,77.6,0,2299.53
Shunt-Wound,Conveyor,2842,5640,11017,536.36,1248.04,77.05,0.22,0.48,77.45,87.63,2.77,7.03,89.22,4,1901.76
Shunt-Wound,Actuator,2984,6401,11510,525.05,967.24,75.39,0.36,0.81,76.07,83.83,0.8,1.71,84.17,0,2381.67
Series-Wound,Fan,2308,5113,9626,412.24,846.07,74.72,0.37,0.58,75.03,71.27,0.18,0.49,71.34,0,2769.81
Permanent Magnet,Conveyor,3490,6569,11550,509.1,837.96,81.78,0.21,0.32,81.79,75.54,0.26,0.71,75.82,0,2421.9
Series-Wound,Conveyor,4429,7056,12440,561.52,936.73,73.92,0.72,1.25,74.12,73.74,0.99,2.64,75.35,0,2021.91
Permanent Magnet,Pump,2153,5503,10633,354.29,768.88,73.62,2.94,4.87,74.23,81.8,1.8,5.08,85.45,9,1819.48
Shunt-Wound,Actuator,5273,8365,13722,645.69,1087.39,73.71,0.19,0.37,73.93,100.29,5.32,11.41,104.55,0,1386.07
Permanent Magnet,Fan,2609,5484,10305,429.95,785.04,72.63,5.91,12.05,73.81,72.27,0.25,0.57,72.59,0,2390.03
Permanent Magnet,Pump,3095,5661,10674,488.6,973.38,72.46,6.39,11.35,74.34,79.44,0.23,0.64,79.77,0,2241.64
Permanent Magnet,Fan,5788,8418,12971,751.58,1198.77,87.9,0.31,0.55,88.04,84.29,0.97,2.28,85.45,0,1370.76
Series-Wound,Conveyor,3785,6660,11325,604.71,1031.96,72.06,0.1,0.16,72.1,79.86,1.72,4.15,83.39,0,2141.12
Series-Wound,Fan,1090,3653,8538,400.33,1088.48,70.67,1.54,3.53,72.75,84.29,0.17,0.43,84.57,0,2932.15
Permanent Magnet,Actuator,5998,8637,13772,872.49,1334.4,74.31,0.14,0.26,74.44,76.77,0.24,0.5,76.84,0,1547.98
Series-Wound,Fan,5225,8471,13761,827.39,1305.13,69.65,0.32,0.66,69.79,75.15,1.15,3.25,76.05,3,1393.79
Permanent Magnet,Pump,5271,8482,13563,646.86,1349.23,80.28,6.65,14.37,90.6,73.08,1.19,2.45,74.18,0,1251.26
Shunt-Wound,Actuator,2050,4872,10160,518.37,1018.83,87.52,2.74,6.82,93.34,94.77,0.41,1.16,95.68,9,1602.69
Shunt-Wound,Conveyor,1928,5153,9862,381.47,717.36,80.26,0.78,1.53,80.36,72.2,4.12,8.62,75.22,14,1555.41
Permanent Magnet,Fan,2224,5089,9710,663.28,1119.9,71.17,0.26,0.47,71.5,73.82,6.69,18.36,87.57,0,2788.39
Series-Wound,Conveyor,2231,5237,10307,549.29,890.45,69.31,0.37,0.79,69.74,71.78,2.78,5.72,72.88,0,2708.33
Shunt-Wound,Pump,2650,5403,10416,486.5,824.72,72.93,0.3,0.63,73.49,81.7,0.24,0.65,81.86,0,2691.29
Series-Wound,Fan,5581,9067,14483,988.1,1366.4,72.29,3.8,6.49,75.23,79.13,0.42,1.2,79.89,0,1205.74
Shunt-Wound,Pump,1966,4832,9849,378.5,1050.77,76.57,0.33,0.7,77.15,73.07,0.29,0.64,73.31,30,168.04
Permanent Magnet,Conveyor,1329,4547,9520,306.13,878.59,76.71,1.5,2.46,77.77,77.51,0.55,1.39,78.64,0,3035.13
Permanent Magnet,Fan,5831,8429,13391,724.14,1133.14,71.8,0.23,0.4,71.82,70.28,0.15,0.32,70.5,15,295.2
Permanent Magnet,Pump,1545,4180,8907,610.54,1138.95,102.9,0.16,0.25,102.97,73.03,0.11,0.32,73.09,10,2009.64
Permanent Magnet,Conveyor,4861,7855,13335,702.1,1091.99,75.46,1.24,2.94,76.58,70.07,0.38,0.81,70.79,15,530.81
Shunt-Wound,Pump,1074,3651,8342,249.19,661.19,72.23,1.82,3.55,73.18,70.93,0.22,0.44,71.03,5,2866.87
Permanent Magnet,Pump,4612,7349,12553,480.35,817.2,95.75,2.24,4.44,98.27,73.33,0.6,1.79,74.22,0,1892.8
Series-Wound,Pump,5989,8740,13795,612.59,1122.87,73.42,1.01,1.94,73.7,70.56,0.57,1.31,71.27,2,1279.93
Permanent Magnet,Conveyor,5711,9165,13741,1161.89,1700.94,75.41,1.23,3,76.33,92.58,0.23,0.57,92.66,0,1210.58
Permanent Magnet,Fan,5699,8915,14064,927.18,1298.91,74,2.9,5.92,76.16,70.56,0.28,0.83,70.95,0,1566.1
Permanent Magnet,Pump,1862,4980,9941,720.51,1111.85,71.45,2.39,5.3,72.14,72.99,0.29,0.82,73.63,18,1122.19
Shunt-Wound,Fan,1266,4740,9913,325.34,696.6,72.43,1.69,3.23,73.65,73.6,0.6,1.74,73.75,22,982.95
Permanent Magnet,Pump,1071,4215,9618,667.41,1402.19,73.64,0.12,0.2,73.75,73.27,1.02,2.63,74.39,0,3285.96
Permanent Magnet,Conveyor,1503,4835,9638,355.55,962.96,70.01,0.39,0.71,70.61,69.62,2.09,5.62,73.74,0,3217.76
Permanent Magnet,Fan,1782,4665,9624,683.25,1194.43,70.4,0.17,0.3,70.48,77.15,0.11,0.27,77.17,0,3055.05
Permanent Magnet,Pump,1632,4775,9973,496.58,966.08,69.72,0.43,0.7,70.32,91.14,1.22,3.55,93.14,0,2834.32
Permanent Magnet,Actuator,3368,6667,12141,1008.19,1572.02,71.71,0.15,0.32,71.75,76.22,0.65,1.42,77.35,0,2373.77
Shunt-Wound,Pump,4394,7329,12760,484.27,879.78,69.99,0.29,0.57,70.09,75.42,1.23,3.17,76.09,0,2177.35
Permanent Magnet,Pump,1017,4181,9635,285.3,670.18,72.27,0.3,0.52,72.4,81.8,0.92,2.68,82.49,0,3175.91
Permanent Magnet,Fan,2179,4983,9723,569.47,956.39,71.18,4.41,10.43,78.98,73.25,0.19,0.46,73.29,0,2659.75
Shunt-Wound,Pump,3068,5848,10441,516.81,829.1,93.5,0.28,0.66,93.81,71.63,0.17,0.37,71.74,0,2523.81
Series-Wound,Actuator,2149,5538,10123,437.53,739.88,69.9,0.24,0.45,70.27,99.54,0.93,2.23,101.42,0,2674.86
Shunt-Wound,Actuator,5576,8559,13201,749.8,1089.14,89.82,0.37,0.66,90.1,95.75,1.16,2.68,97.47,0,1260.99
Shunt-Wound,Actuator,1678,4319,9624,406.32,894.82,73.39,2.37,4.52,74.29,93.71,4.64,11.22,102.96,5,2184.96
Permanent Magnet,Conveyor,4682,8041,12844,1324.57,1775.63,71.98,1.8,3.57,72.75,86.99,4.79,10.75,91.23,0,1499.83
Permanent Magnet,Fan,2805,5615,10459,548.58,870.41,85.64,2.83,4.96,89.51,72.81,0.56,1.16,73.79,0,2494.68
Series-Wound,Conveyor,1795,5058,9629,404.5,771.29,69.84,0.27,0.56,69.99,100.92,0.32,0.68,101.18,0,2651.94
Shunt-Wound,Pump,1451,4102,8603,451.3,1111.97,88.02,0.57,1.25,88.98,72.58,0.29,0.6,73,0,2986.73
Series-Wound,Actuator,3124,6037,11053,851.58,1337.16,70.06,4.08,7.97,74.39,72.32,0.79,2.01,72.63,0,2274.18
Series-Wound,Fan,5248,7837,12870,862.98,1425.74,80.94,3.72,6.3,82.77,74.26,0.67,1.59,74.44,9,616.21
Permanent Magnet,Conveyor,3597,6357,11804,938.49,1333.84,70.5,0.3,0.7,70.65,71.4,3.51,8.88,73.19,15,905.07
Permanent Magnet,Conveyor,4146,7110,12513,867.06,1227.7,71.35,0.15,0.31,71.42,88.85,0.28,0.81,88.87,0,2121.17
Series-Wound,Pump,3112,6470,11211,709,1113.2,75.74,1.38,2.5,77.54,71.65,0.76,1.51,72.02,0,2421.86
Series-Wound,Fan,2913,6182,11549,487.96,1241.49,84.99,1.91,3.98,86.53,71.57,0.31,0.87,71.61,0,2376.96
Permanent Magnet,Pump,4298,6856,11860,1074.51,1436.93,94.44,0.2,0.34,94.72,76.11,5.96,13.31,85.76,4,1386.28
Permanent Magnet,Actuator,5140,7699,12901,749.96,1137.5,71.75,4.66,7.38,75.46,73.45,0.1,0.24,73.6,0,1576.43
Permanent Magnet,Conveyor,4586,7986,12555,676.17,1397.86,85.67,0.35,0.66,85.82,71.16,2.66,7.88,75.7,0,1841.42
Permanent Magnet,Fan,2873,5535,10463,794.28,1213.02,81.85,1.8,4.37,83.85,73.99,0.4,1.02,74.49,0,2469.4
Series-Wound,Conveyor,5194,8325,13597,920.05,1530.44,91.46,0.23,0.44,91.67,73.83,0.12,0.25,73.86,0,1595.89
Permanent Magnet,Actuator,1919,5250,10207,494.23,829.68,73.93,0.28,0.58,74.04,95.49,0.28,0.77,95.56,0,2843.47
Permanent Magnet,Conveyor,2974,6420,11215,812.46,1512.32,76.26,3,6.5,80.04,69.38,4.03,9.39,73.12,0,2263
Permanent Magnet,Actuator,2601,5501,10292,446.12,1133.72,101.46,0.66,1.21,102.42,84.68,1.57,3.47,87.38,0,2333.39
Permanent Magnet,Actuator,1654,4893,10378,464.19,909.21,72.45,0.2,0.43,72.65,73.15,1.32,3.9,75.4,0,3029.28
Permanent Magnet,Fan,3320,5833,11220,518.63,1098.47,76.43,0.29,0.58,76.48,72.21,4.19,10.13,73.14,0,2448.6
Shunt-Wound,Actuator,3553,6918,11877,619.86,1280.76,75,4.55,11.35,84.25,74.71,0.4,0.83,75.32,0,2055.32
Permanent Magnet,Fan,2599,5839,10751,379.11,722.67,71.19,4.19,8.5,71.66,75.21,4.02,10.87,78.47,8,1654.98
Permanent Magnet,Fan,1363,3960,8543,297.8,795.03,71.64,5.95,14.74,75.31,75.9,0.15,0.44,76.21,16,1302.13
Permanent Magnet,Fan,3801,6623,12018,599.89,986.57,75.66,0.15,0.26,75.86,81.32,3.94,11.09,81.92,3,1845.52
Series-Wound,Actuator,3248,6368,11635,664.02,1151.19,71.43,4.91,8.66,78.16,76.38,0.43,0.98,77.09,30,1
Permanent Magnet,Pump,5117,8111,13251,527.63,1274.09,76.61,0.26,0.52,76.7,74.74,1.18,2.93,75.69,0,1814.19
Permanent Magnet,Fan,4907,7608,12664,719.82,1152.84,86.93,1.13,2.62,87.04,93.78,0.33,0.77,94.08,0,1593.96
Permanent Magnet,Actuator,3159,6656,11507,636.3,1050.84,70.1,0.27,0.59,70.46,76.63,0.27,0.71,77.24,0,2454.05
Permanent Magnet,Actuator,2239,5468,10703,411.27,1159.06,79.1,0.23,0.42,79.2,74.26,3.47,7.29,78.07,0,2851.87
Permanent Magnet,Fan,4630,7458,12229,730.37,1311.04,72.56,3.22,5.91,72.99,96.53,0.83,1.68,97.92,0,1558.8
Permanent Magnet,Fan,5919,9169,14516,1049.8,1447.07,71.01,0.32,0.6,71.39,73.28,2.19,4.46,74.28,0,1414.24
Series-Wound,Conveyor,2186,5129,9727,669.61,1101.1,72.95,3.54,7.61,73.06,73.13,0.28,0.78,73.83,0,2527
Shunt-Wound,Actuator,5350,8670,13393,717.77,1245.87,97.19,0.15,0.29,97.25,74.22,0.12,0.3,74.27,0,1621.9
Permanent Magnet,Pump,4311,7565,12882,569.71,1009.93,76.94,0.34,0.64,77.41,71.6,1.46,4.18,72.9,0,2086.58
Series-Wound,Fan,5371,7877,12595,928.4,1234.26,69.45,5.9,12.36,73.82,73.01,1.81,3.83,73.57,0,1247.26
Series-Wound,Pump,5704,8609,13784,927.18,1583.56,74.29,0.78,1.87,75.82,70.77,0.2,0.58,70.89,0,1548.42
Permanent Magnet,Conveyor,1578,4696,9560,373.12,780.45,73.75,3.41,7.6,79.36,70.13,2.39,5.54,71.59,0,2893.46
Permanent Magnet,Actuator,3022,6096,10838,501.51,808.11,70.51,2.25,3.59,70.56,79.31,1.21,3.29,80.63,12,1345.4
Permanent Magnet,Fan,3522,6426,11464,544.42,1237.63,73.14,2.72,4.54,74.26,72.98,0.37,0.98,73.49,0,2221.25
Permanent Magnet,Conveyor,1987,4520,9787,691.46,1108.13,89.59,4.06,7.7,94.32,71.83,0.28,0.74,72.04,0,2540.29
Shunt-Wound,Pump,3146,5946,11436,983.67,1524.36,79.35,1.87,2.86,79.37,71.42,0.7,1.59,72.32,0,2409.87
Permanent Magnet,Pump,2548,5634,10488,385.61,750.03,69.47,0.49,0.79,69.54,72.76,0.39,1.03,72.77,0,2887.82
Permanent Magnet,Conveyor,5647,8873,13877,618.01,1406.23,70.75,0.67,1.13,71.1,71.09,0.34,0.8,71.53,0,1664.36
Permanent Magnet,Actuator,1529,4902,9687,337.09,1073.37,81,0.13,0.27,81.2,81.67,3.67,10.6,84.95,0,3012.98
Permanent Magnet,Fan,5462,8535,13169,832.45,1205.13,70.05,0.24,0.39,70.1,102.46,3.23,8.17,104.89,0,1417.58
Series-Wound,Conveyor,5090,8565,13678,587.92,1270.19,75.56,3,5.22,76.91,73.61,2.92,6.98,78.33,0,1546.75
Permanent Magnet,Actuator,4147,7090,12482,461.92,1085.98,92.38,0.24,0.57,92.7,74.14,0.53,1.59,74.67,0,1993.49
Permanent Magnet,Conveyor,4976,7699,12859,1112.57,1619.08,72.29,0.19,0.4,72.34,95.82,2.67,6.65,96.65,0,1613.2
Permanent Magnet,Pump,4656,7660,12685,583.53,909.12,85.87,1.99,4.65,88.81,70.34,0.44,1.22,70.95,0,1859.69
Series-Wound,Fan,3892,7196,11964,733.74,1089.96,73.36,1.77,3.29,74.15,101.28,1.39,3.79,102.87,14,542.29
Permanent Magnet,Conveyor,5079,7702,12924,892.92,1382.3,73.34,1.88,4.7,75.4,72.2,0.72,1.87,72.29,0,1818.22
